route_id,stop_id,stop_sequence
1136_3,000000100077,0
1136_3,000000108001,1
1136_3,000000100023,2
1136_3,000000100053,3
1136_3,000000100054,4
1136_3,000000100056,5
1136_3,000000100055,6
1136_3,000000100060,7
1136_3,000000100061,8
1136_3,000000100621,9
1136_3,000000610010,10
1136_3,000000610012,11
1136_3,000000200065,12
1136_3,000000200066,13
1136_3,000000200105,14
1136_3,000000200054,15
1136_3,000000200053,16
1136_3,000000200052,17
1136_3,000000200051,18
1136_3,000000200050,19
1136_3,000000200048,20
1136_3,000000200047,21
1136_3,000000200046,22
1136_3,000000200045,23
1136_3,000000200101,24
1136_3,000000200030,25
1136_3,000000200098,26
1136_3,000000200099,27
1136_3,000000200032,28
1136_3,000000200100,29
1136_3,000000200033,30
1136_3,000000200088,31
1136_3,000000200034,32
1136_3,000000200035,33
1136_3,000000230106,34
1136_3,000000230108,35
1136_3,000000230112,36
1136_3,000000240229,37
1136_3,000000240230,38
1136_3,000000240231,39
1136_3,000000240232,40
1136_3,000000240234,41
1136_3,000000240236,42
1136_3,000000240237,43
1136_3,000000240250,44
1136_3,000000240239,45
1136_3,000000240240,46
1136_3,000000240241,47
1136_3,000000240242,48
1136_3,000000240246,49
1136_3,000000240000,50
1136_3,000000240095,51
1136_3,000000240097,52
1136_3,000000240098,53
1136_3,000000240099,54
1136_3,000000240100,55
1136_3,000000240101,56
1136_3,000000240102,57
1137_3,000000250240,0
1137_3,000000250661,1
1137_3,000000230003,2
1137_3,000000230004,3
1137_3,000000230287,4
1137_3,000000230240,5
1137_3,000000230005,6
1137_3,000000230006,7
1137_3,000000230010,8
1137_3,000000230011,9
1137_3,000000230012,10
1137_3,000000230013,11
1137_3,000000230077,12
1137_3,000000240131,13
1137_3,000000240132,14
1137_3,000000240133,15
1137_3,000000240134,16
1137_3,000000240543,17
1137_3,000000240147,18
1137_3,000000240148,19
1137_3,000000240149,20
1137_3,000000240150,21
1137_3,000000240204,22
1137_3,000000240208,23
1137_3,000000240209,24
