route_id,stop_id,stop_sequence
1136_3,000000240048,0
1136_3,000000240049,1
1136_3,000000240050,2
1136_3,000000240051,3
1136_3,000000240052,4
1136_3,000000240248,5
1136_3,000000240175,6
1136_3,000000240249,7
1136_3,000000240244,8
1136_3,000000240193,9
1136_3,000000240194,10
1136_3,000000240195,11
1136_3,000000240198,12
1136_3,000000240199,13
1136_3,000000240252,14
1136_3,000000240204,15
1136_3,000000240205,16
1136_3,000000240226,17
1136_3,000000240227,18
1136_3,000000240228,19
1136_3,000000230101,20
1136_3,000000230102,21
1136_3,000000230104,22
1136_3,000000200025,23
1136_3,000000200026,24
1136_3,000000200027,25
1136_3,000000200087,26
1136_3,000000200028,27
1136_3,000000200085,28
1136_3,000000200018,29
1136_3,000000200019,30
1136_3,000000200020,31
1136_3,000000200022,32
1136_3,000000200023,33
1136_3,000000200081,34
1136_3,000000200072,35
1136_3,000000200073,36
1136_3,000000200074,37
1136_3,000000200075,38
1136_3,000000200077,39
1136_3,000000200078,40
1136_3,000000200060,41
1136_3,000000200106,42
1136_3,000000200111,43
1136_3,000000200112,44
1136_3,000000610047,45
1136_3,000000100111,46
1136_3,000000100622,47
1136_3,000000100062,48
1136_3,000000100065,49
1136_3,000000100066,50
1136_3,000000100057,51
1136_3,000000100067,52
1136_3,000000100068,53
1136_3,000000108002,54
1136_3,000000100203,55
1137_3,000000200059,0
1137_3,000000200058,1
1137_3,000000200057,2
1137_3,000000200084,3
1137_3,000000610047,4
1137_3,000000100111,5
1137_3,000000100622,6
1137_3,000000100062,7
1137_3,000000100065,8
1137_3,000000100066,9
1137_3,000000100057,10
1137_3,000000100067,11
1137_3,000000100068,12
1137_3,000000108002,13
1137_3,000000100203,14
1138_3,000000290067,0
1138_3,000000290069,1
1138_3,000000290070,2
1138_3,000000290071,3
1138_3,000000290072,4
1138_3,000000290073,5
1138_3,000000290074,6
1138_3,000000290131,7
1147_3,000000250001,0
1147_3,000000250681,1
1147_3,000000250003,2
1147_3,000000250037,3
1147_3,000000250038,4
1147_3,000000250039,5
1147_3,000000250069,6
1147_3,000000250075,7
1147_3,000000250076,8
1147_3,000000250077,9
1147_3,000000220082,10
1147_3,000000220083,11
1147_3,000000220084,12
1147_3,000000220085,13
1147_3,000000220087,14
1147_3,000000220058,15
1147_3,000000220126,16
1147_3,000000220127,17
1147_3,000000220128,18
1147_3,000000220177,19
1147_3,000000220130,20
1147_3,000000220132,21
1147_3,000000220133,22
1147_3,000000220134,23
1147_3,000000220136,24
1147_3,000000220144,25
1147_3,000000610079,26
1148_3,000000250239,0
1148_3,000000250661,1
1148_3,000000260020,2
1148_3,000000260065,3
1148_3,000000260066,4
1148_3,000000260067,5
1148_3,000000260068,6
1148_3,000000260069,7
1148_3,000000260083,8
1148_3,000000260084,9
1148_3,000000260086,10
1148_3,000000260087,11
1148_3,000000260095,12
1148_3,000000260094,13
1148_3,000000260093,14
1148_3,000000250026,15
1148_3,000000250027,16
1148_3,000000250028,17
1148_3,000000250237,18
1149_3,000000250235,0
1149_3,000000250681,1
1149_3,000000250003,2
1149_3,000000250037,3
1149_3,000000250038,4
1149_3,000000250039,5
1149_3,000000250041,6
1149_3,000000250043,7
1149_3,000000250046,8
1149_3,000000250049,9
1149_3,000000250052,10
1149_3,000000250053,11
1149_3,000000250054,12
1149_3,000000250116,13
1149_3,000000250117,14
1149_3,000000250119,15
1149_3,000000250120,16
1149_3,000000250151,17
1149_3,000000250141,18
1149_3,000000250108,19
1149_3,000000250109,20
1149_3,000000250110,21
1149_3,000000250221,22
1150_3,000000250235,0
1150_3,000000250681,1
1150_3,000000250003,2
1150_3,000000250037,3
1150_3,000000250038,4
1150_3,000000250039,5
1150_3,000000250069,6
1150_3,000000250071,7
1150_3,000000250072,8
1150_3,000000250046,9
1150_3,000000250122,10
1150_3,000000250082,11
1150_3,000000300066,12
1150_3,000000300067,13
1150_3,000000300068,14
1150_3,000000300069,15
1150_3,000000300070,16
1150_3,000000300151,17
1150_3,000000300641,18
1150_3,000000300225,19
1150_3,000000300090,20
1150_3,000000300157,21
