,0
780006320801,1
900000650221,1
780007090701,5
900000853461,1
000000510046,1
000000820060,1
000000290078,2
780006240201,2
000000850028,1
780045952001,4
000000900164,1
000000910059G,1
000000319001,1
000000920006,1
000000430076,1
900000850201,1
780005280202,4
000000910066,1
900000852691,1
780005005102,1
780003540201,3
780006010702,1
780005410401,1
900000650541,1
900000751756,1
900000851966,1
000000920161,1
000000830093,2
780009290101,3
000000297004,1
780003180202,4
000000910100,2
900000753501,1
000000920088,1
780005960602,2
000000988132,1
090000909009,1
780004660401,3
000000340029,6
900000310281,1
780051957901,1
780025001801,1
900000806286,1
000000810173,2
780005000101,1
000000800972,4
780008170401,7
900000802131,2
780049954001,1
780005002801,8
000000610140,1
000000850062,4
900000753436,6
000000900071,3
720000044413,1
000000510035,2
000000320014,2
900000752121,2
900000850436,1
780005720402,1
000000900126,4
780004060302,1
900000755076,2
000000400009,16
000000370088,3
090000709004,1
780007350201,1
780004506002,2
000000220093,3
780004211001,4
000000110052G,2
000000280072,2
000000600085,3
000000370500,1
000000920073,1
900000857696,4
000000810434,1
000000310180,2
780003510101,2
000000810081,2
000008002504,1
780008930602,1
000000550084,1
900000809581,1
900000801011,1
000008001316,1
000008005826,1
800000375063,1
780003450701,5
780005008001,1
000000360072,1
900000855501,2
900000752586,1
900000757541,1
000000420042,3
000000430014,1
780002770401,1
780007531701,1
000000820008,1
900000750306,2
780084470103,1
000000830114,2
900000851911,2
000000490012,1
090000109020,2
000000970152,3
000000260034,3
720000043401,1
780003520102,3
900000806371,2
900000757691,1
000000100104,1
000000650015,2
900000857591,3
780025000002,5
900000857466,4
900000852481,3
780084480502,1
900000751026,1
000000110158G,1
780006030101,3
900000085352,1
000000300139,5
000000410074,2
900000808471,1
000000300791,1
780004503701,1
780007540501,2
000000977283,1
000000538111,1
000000350109,10
780015006101,12
000000800017,1
000000710312,2
900000805686,1
000000370559,2
900000850996,1
780005230401,1
000008001438,1
780004090401,3
780081464202,1
000000200004,2
800000377891,3
780007500202,3
000000220268,1
000000610185G,1
900000855861,1
780008960201,1
900000750066,2
000000800035,3
780009380501,2
780016110101,1
000000360050,3
000008002550,1
000000710243,2
000000340012,3
000000820158,1
780004211801,3
780005270603,1
780003370501,3
780081430301,1
900000806221,1
780007090402,3
780006365001,3
000000350063,3
000000910039,1
780049000701,7
000000100081,1
000000490022,1
000000900057,1
900000800706,1
000000970043,2
780008910801,2
000000370551,4
000000610002,2
800000375499,1
900000806086,1
000011721502,1
000000310226,2
780005150402,3
000000360323,1
780003471302,1
780003507402,4
900000757071,1
000000650029G,4
900000753771,5
000000620052,5
000000978121,1
000000110069,1
000000823000,1
000000490001,6
000000340041,2
000000840054,5
780025008801,2
000000260104,1
780008172002,2
900000653491,2
000000100023,5
000347563602,2
000000620471,1
780009650502,1
000000910084,2
000011548501,1
000000810781,1
900000802546,1
900000858236,1
000000610230,1
000000850043,2
780050048502,3
000000529306,1
780002830302,2
780008020801,3
000000800106,1
000000370029,1
000000370546,1
900000806481,2
780007531602,1
000000410136,3
780099940201,1
000000210059,3
780008160202,1
780084430103,1
000000800239,1
800000375427,1
000000430131,1
000000640059,4
780007540902,2
720000075572,2
780041959701,3
090000709000,1
000000200065,2
000000260001,3
000000210008,1
000000410034,3
900000754866,3
000000910002,4
780003480301,1
000000100004,1
000000370522,1
780005920201,1
900000852487,3
900000350111,1
000000530023,1
800000375412,1
900000806131,2
780025002401,4
000008006475,1
900000802116,7
780004780502,4
780009470202,1
900000857811,3
000000360961,1
000000977912,1
000000719104,2
780004040702,1
000008007068,1
000000999102,1
000000370480,1
780003310201,1
000000540089,1
000000370564,2
000000640005,1
000000360313,2
780003750401,7
900000756806,2
780051959901,1
900000800941,2
000000710231,2
000000710200,1
000000910001G,1
780005008601,6
900000751176,1
000000300085,5
000000409100,1
000000370025,2
090000659000,1
000000910116G,1
000000630059,1
900000753091,11
000000100110,1
000000910077,4
000000540031,4
000000810084,1
000000260052,2
780004080702,3
780008171801,1
900000851251,4
780015140102,2
000000430048,1
780004260402,1
000000370053,1
000000830001G,2
780004410402,2
780003080402,2
780003840602,1
780005710501,1
000000800095,2
000000630028,2
780005550302,4
000000290023,1
780051003102,3
900000853991,2
000000510073,3
000000971811,1
900000800461,1
780006281802,1
000000230178,1
000000900169,1
900000857361,3
000000110112,1
780007530702,2
000000240130,1
900000850216,1
780004880202,1
090000709012,1
720000070009,3
780006310202,3
000000370561,2
000011727602,1
000000810762,1
900000653436,1
000000820196,1
000000800126,3
900000751531,6
000000700033,1
780001601501,1
780007660102,1
800000375414,1
000013201001,1
780084470402,3
000000350088,2
000000000830,1
000000000660,1
900000653661,2
000000610166,1
000000610019,1
780003900102,2
000000980057,3
780009404002,2
000000110159,1
000000370134,1
900000800791,3
000000370179,3
000000710117,2
000000250239,6
780005930301,1
780005130901,2
000000971191,2
780005780101,1
780006371301,6
000000860045,2
000000977031,2
000000530055,3
780005570301,1
900000858356,1
900000800661,6
780005720502,2
780049956101,1
800000375114,5
900000650411,1
000000620048,3
000000970147,3
000000800059,1
780045953902,5
780007520201,2
780005390802,1
000000370563,2
000000710049,2
800000375282,1
780004630502,8
900000850852,1
780004810102,1
000000830065,2
000000280250,1
900000809381,1
780004241201,1
780007160401,3
000000700274,1
000000100015,1
780004400102,1
900000653051,3
000000800159,3
000000290077,2
780003502301,4
000000110052,1
900000850916,2
900000753716,3
000000270441,1
900000704251,1
000000430172,1
800000310083,1
000000210052,1
000000410147,2
000000230050,3
000000820130G,1
900000754831,2
000000910010,2
800000375322,2
000000720018,4
000000240241,2
000000310048,2
000000250227,8
780007970101,3
780007390101,1
900000652451,1
780009160402,1
000008004250,1
900000652386,1
780004507001,3
780003330402,2
780003503302,3
000000119106,3
900000753331,1
000000530038G,1
900000755526,1
000008007062,2
000000370393,1
000000998602,1
000000600059,4
900000650381,2
000000978041,5
780003010101,2
780002330201,1
900000857476,4
900000751711,2
000000600013,6
000000250027,1
000000610076G,2
720000075571,3
000000710092,1
900000700911,1
800000375113,3
800000375324,2
000000230227,3
000000710242,2
000000980095,2
780002680104,1
000000240018,2
780009650101,1
900000804851,2
090000229001,2
780049952502,1
000000280218,2
000000710015,1
000000110108,2
000000110053,1
000000971631,1
000000240032,2
780007970902,2
780006310102,3
090000909001,1
900000651837,2
900000303751,1
780051003402,3
780050046701,1
000000610089G,1
780011011602,1
000000100179,3
000008012951,1
800000375417,1
000000000689,1
000000957101,1
000000370091,3
780005720802,4
900000900096,1
000000340164,1
900000801881,2
900000753146,4
000000800215,1
900000805836,4
000000290036,2
780003501802,9
780006280202,2
780004760201,1
800000375292,2
900000703976,1
900000752856,3
000000290041,1
780005131002,2
900000809426,1
000008004177,1
000000290079,2
000000970016,5
900000852396,4
000000810028,2
000000000966,1
000000658001,1
780005100501,4
000000700155,4
000000430126,3
900000651456,4
800000375367,2
900000857486,4
000000370544,1
000000290691,1
780003502502,1
780043005002,4
000000800672,1
800000375258,2
780005900101,1
000000720064,1
780007130101,2
000000340068,2
000000990097,2
800000101002,1
000000330225,1
090000359009,1
000000360084G,1
900000806676,1
000000970012,4
900000805661,1
000000370435,1
780015480102,1
000000360102,1
000000990114,1
000000550052,2
780004670201,2
780007540802,2
000000830081,2
000000340321,2
000000990155,1
000000260124,1
900000753736,1
000008010156,1
000000230176,1
090000119011,1
780003350602,5
000000640029,2
000000990221,1
780085480101,2
000000970089,3
900000857431,3
900000350231,1
780008912302,2
780005440501,1
780025009702,2
900000754376,2
000000260682,1
800000375336,1
000000890991,1
800000375033,7
780011002502,1
800000378142,1
000000360502,2
900000757006,1
780041014501,2
000000440008,4
000000910098,2
000000998471,1
000000410048,1
780004830401,1
780003130302,2
000000440052,2
780007090401,3
900000802121,4
000000820156,2
000000828002,1
780003680301,2
900000756511,1
000000800061G,1
780004670501,3
780055056001,2
000000977951,1
000000310116,2
000000910004,4
780008300202,2
780003430202,1
900000754076,1
000000383514,2
780004781302,1
000000370102,2
000000550075,1
000000210046,1
720000050101,1
000000430151,1
000000700270,1
000000530005,2
780015001701,1
000000310224,1
000000910121,1
900000801626,3
000000370114,1
900000851386,2
000000280262,3
780006364901,1
000000510004,1
900000851886,2
800000375398,2
780004750101,1
720000075325,2
900000850431,1
000000830072G,3
900000650921,1
780006364502,1
900000800886,1
000000610197G,1
000000998342,1
000000840119,2
000000100035G,2
900000805141,2
780007220401,2
900000801921,1
000000360122,2
780007080501,3
000000370188,1
800000375233,1
000000440015,3
900000754166,1
780003411001,1
000000360138,1
780003460301,3
900000752401,2
900000751391,2
780015005801,2
000000920049G,1
000000630160,3
780045952801,3
900000600871,2
900000753286,3
780004800501,3
900000801151,1
780015005901,5
780005004701,1
780003470201,2
000000280225,1
000000540065,2
900000851291,2
780015001602,1
000000420002,1
900000754611,1
000011708501,1
780003620201,1
000000530018,1
780005470102,2
780007531501,3
000000100176,1
000000250046,3
900000800156,4
900000850416,1
000000971341,1
000000970106,1
000000972152,1
000000800164,1
000000610082,2
780004241702,3
000000320028,2
000000250128,2
780005500402,1
900000653066,1
780006250202,3
780008340101,2
000000900095,2
000000370096,3
000000200261,1
000000830145,1
000000630061,2
000000810158,1
780007420102,1
900000855101,2
000000410029,3
000000977022,2
000000809329,1
900000850527,3
000000300080,4
780003790101,3
780003500601,1
000000720069,1
900000756046,1
900000750926,1
000008005019,3
000000840036,2
780004190202,3
090000709023,1
780003341402,5
780003570401,3
780004670601,4
000000280005,4
900000856976,1
900000655581,1
000000988091,1
000000800082G,3
000000410165,2
900000802631,2
900000852666,4
000000860079,1
900000653071,1
000347533801,4
900000853386,2
900000600061,1
780002910502,3
780004650301,4
780025010101,1
000000190613,1
900000085274,1
780004501701,2
000000600038,5
000000820111,2
780004290202,1
000000970082,3
000000270065,1
000000440057,1
780008790201,1
780007000101,1
900000557821,1
900000801656,1
780003170302,3
000000830090,2
000000330078,1
090000849005,1
900000650426,1
780005032201,2
780005900202,1
900000852071,2
900000806126,2
000000710140,2
720000044710,1
900000751332,2
000000230011,3
000000260092,1
780081463001,1
780005100702,4
780003240402,3
000000200062,2
000000360108,1
780005020401,2
000000970090,3
780004370202,3
900000857276,2
000000430027,6
000000971522,1
000000977222,1
780006281202,1
000000910073,1
000000372031,1
780008171202,4
900000801251,5
000000370495,1
800000375355,2
900000801451,1
000000840091,4
780008120202,3
000000650074,1
780015002502,2
780005370502,1
000000840058,2
780004101102,1
000000100017,1
000000700043,1
000000860036G,1
000000260115,3
000000230147,1
000000270023,5
000000210061,3
000008007059,1
780004640301,4
780004570201,2
900000858316,1
780051957201,2
900000805741,1
780005140201,4
780015009302,1
090000909017,1
800000375032,6
780003350302,1
800000375439,1
900000806316,2
000000370110,1
000008006197,1
000000240214,2
780049951402,1
780004670301,1
000000720059,2
900000858131,1
900000754836,2
000000280123,2
780002850302,1
780002880101,1
000000809104,3
780008730301,2
000000200022,5
780009380002,2
780006303801,2
000008002554,1
000000620076,1
000000240544,1
780008700201,1
000008007044,1
900000752431,4
000000700077,3
000000440012,4
000008001092,2
000000240070,3
780015007601,4
780005410501,1
000000540026,3
900000753681,3
780002970102,2
000000640078,4
000000620046G,1
900000801841,3
000000970010,4
780015004001,2
000000993032,1
780011012201,1
000011128102,1
000000977431,1
000000710192,1
000000260050,3
090000909018,1
000000320139,1
090000709015,1
000347530902,2
780041001501,1
780011002501,1
780003870502,1
000000320134,2
000000720119,2
900000855536,1
000000420028,2
000000800057,1
780005270601,4
780003470501,1
000000370416,1
000000810143,1
000000240227,2
780004151702,1
780006340101,2
900000753336,1
780004270101,1
000000630092,1
780006365101,1
780007180302,3
780050048802,1
000000998401,1
000000361001,1
780004060202,1
000000617003,1
000000988142,1
720000075580,2
900000806016,3
000000420008,1
000000600040,5
000347531802,2
